String,Token Index
2334,0
76510,1
64714,2
7142,3
5853,4
7640,5
8041,6
678,7
76400,8
7606,9
2777,10
64623,11
76428,12
67694,13
65570,14
6781,15
76403,16
66884,17
6923,18
67692,19
25090,20
V8905,21
V8903,22
67103,23
76514,24
67144,25
8540,26
6426,27
67623,28
49320,29
67521,30
25040,31
4275,32
66943,33
65933,34
64391,35
6703,36
8504,37
64884,38
672,39
67684,40
76512,41
4660,42
66890,43
64722,44
6391,45
V2381,46
8509,47
9495,48
6701,49
76417,50
71514,51
34590,52
64734,53
64891,54
67801,55
64744,56
64924,57
3458,58
7600,59
76496,60
6791,61
66310,62
64721,63
76622,64
67403,65
64710,66
67691,67
6764,68
6462,69
64750,70
76502,71
80479,72
7601,73
67641,74
6733,75
64760,76
76501,77
64622,78
6528,79
8503,80
76404,81
66130,82
76505,83
66070,84
6631,85
64762,86
6918,87
77214,88
274,89
6394,90
67604,91
639,92
42731,93
64723,94
76516,95
3310,96
6636,97
65493,98
76425,99
76416,100
64240,101
6395,102
67682,103
64892,104
64601,105
76498,106
76424,107
67590,108
85249,109
64320,110
7330,111
25080,112
65470,113
6489,114
66574,115
59589,116
30550,117
67334,118
67681,119
76491,120
67004,121
6472,122
6740,123
76490,124
6522,125
34580,126
66941,127
76427,128
67680,129
66813,130
67102,131
6547,132
66802,133
76419,134
64784,135
492,136
6758,137
34591,138
30553,139
V2383,140
57461,141
6710,142
76499,143
67010,144
64383,145
64764,146
80469,147
73309,148
67410,149
595,150
67504,151
66554,152
670,153
6476,154
6439,155
76519,156
6481,157
67614,158
24941,159
76492,160
64001,161
649,162
64944,163
76401,164
8500,165
6487,166
647,167
1539,168
67654,169
76495,170
67002,171
67902,172
3829,173
76506,174
805,175
64874,176
67601,177
76423,178
7641,179
65523,180
67112,181
6759,182
65931,183
76508,184
6655,185
64922,186
67693,187
80439,188
810,189
76409,190
30981,191
4928,192
73300,193
67330,194
6769,195
67121,196
64393,197
80419,198
679,199
80460,200
67501,201
30551,202
67480,203
6494,204
67154,205
76497,206
57460,207
824,208
85169,209
76494,210
67610,211
80410,212
6780,213
7789,214
382,215
85189,216
V233,217
6597,218
67333,219
66824,220
84509,221
76414,222
66811,223
64870,224
67644,225
41401,226
66881,227
7602,228
67153,229
V220,230
80009,231
64881,232
66821,233
64381,234
63310,235
6552,236
67314,237
4912,238
33829,239
76421,240
6681,241
65810,242
34671,243
345,244
67593,245
80499,246
84500,247
6680,248
49120,249
80369,250
64260,251
67514,252
67332,253
7722,254
76513,255
285,256
67620,257
76515,258
66891,259
76517,260
8502,261
64761,262
84200,263
V238,264
76411,265
64380,266
7140,267
3055,268
9492,269
64871,270
8361,271
775,272
8450,273
76407,274
8362,275
67913,276
6708,277
6471,278
64620,279
2504,280
66940,281
6398,282
4938,283
64720,284
67513,285
77210,286
80006,287
67123,288
64780,289
6712,290
80489,291
64920,292
64940,293
67080,294
67914,295
V2382,296
64660,297
6393,298
71596,299
64810,300
6607,301
65973,302
842,303
6493,304
65520,305
67400,306
64930,307
85229,308
6715,309
67912,310
2724,311
65970,312
6633,313
67200,314
64822,315
67151,316
67603,317
27489,318
6720,319
67030,320
67800,321
V2385,322
V221,323
25092,324
66313,325
7604,326
64231,327
67312,328
64921,329
66810,330
6742,331
6748,332
66942,333
6749,334
6424,335
67653,336
493,337
67114,338
6924,339
64000,340
67600,341
64800,342
67152,343
64740,344
65571,345
34581,346
64890,347
6474,348
6475,349
473,350
64624,351
76412,352
66133,353
6480,354
153,355
67904,356
6741,357
49390,358
67120,359
7603,360
76429,361
668,362
66820,363
64820,364
6700,365
6768,366
59080,367
64872,368
6694,369
64003,370
67650,371
7724,372
67903,373
7605,374
84209,375
67613,376
6549,377
6593,378
66894,379
7642,380
64603,381
66331,382
30552,383
7725,384
65573,385
7649,386
64790,387
67520,388
8505,389
66300,390
V8901,391
64263,392
7799,393
3459,394
67803,395
6682,396
80429,397
67150,398
6762,399
80059,400
64600,401
64803,402
2749,403
64813,404
67420,405
80109,406
67523,407
4939,408
65813,409
6630,410
66893,411
66823,412
65511,413
66800,414
64894,415
6473,416
66330,417
64321,418
64244,419
66550,420
6652,421
80159,422
66882,423
41407,424
64794,425
80449,426
76406,427
67683,428
2494,429
76518,430
80379,431
5851,432
65223,433
V239,434
67640,435
7759,436
76420,437
6478,438
67101,439
24940,440
64241,441
7709,442
9491,443
67104,444
66822,445
80329,446
66803,447
7662,448
67000,449
66812,450
6392,451
25082,452
4739,453
663,454
3382,455
66333,456
6492,457
5958,458
67624,459
64733,460
66880,461
5852,462
65971,463
76422,464
2748,465
6479,466
64882,467
6482,468
67500,469
66520,470
67810,471
67901,472
76418,473
85400,474
76504,475
66883,476
64943,477
25042,478
64253,479
67813,480
66804,481
67100,482
7771,483
76426,484
6790,485
76511,486
850,487
66814,488
66801,489
67113,490
64824,491
67111,492
674,493
9493,494
80309,495
25010,496
76493,497
0340,498
64763,499
7726,500
66892,501
64390,502
6688,503
71516,504
67583,505
67911,506
67690,507
67643,508
85409,509
64713,510
67900,511
66551,512
67510,513
V22,514
64621,515
65930,516
7792,517
5750,518
646,519
76503,520
66944,521
542,522
65513,523
80179,524
76408,525
8420,526
80359,527
V2384,528
6331,529
4738,530
76405,531
7788,532
76415,533
67122,534
6390,535
675,536
64242,537
778,538
8046,539
V8904,540
67142,541
64730,542
6750,543
85309,544
76402,545
8360,546
7796,547
9494,548
65491,549
67490,550
80459,551
691,552
65490,553
76410,554
67503,555
541,556
6557,557
67660,558
2858,559
64243,560
64724,561
2859,562
V2389,563
76413,564
67811,565
6689,566
5959,567
6399,568
6396,569
67580,570
76507,571
64880,572
66360,573
65220,574
648,575
